date,global_total_cases,global_total_deaths
2022-12-21,676452416,6679199
2022-12-22,683295591,6681249
2022-12-23,691148499,6686344
2022-12-24,697876247,6689056
2022-12-25,704542906,6694853
2022-12-26,709485762,6697380
2022-12-27,714352610,6699389
2022-12-28,719165087,6702556
2022-12-29,722895579,6706110
2022-12-30,726604176,6712772
2022-12-31,729387643,6719422
2023-01-01,732275598,6727230
2023-01-02,734113189,6732448
2023-01-03,735583505,6737617
2023-01-04,737217110,6743184
2023-01-05,738725147,6743996
2023-01-06,740598392,6747586
2023-01-07,741872141,6748769
2023-01-08,743255597,6751798
2023-01-09,744137211,6752474
2023-01-10,744735847,6752985
2023-01-11,745354314,6753736
2023-01-12,745994709,6754290
2023-01-13,747017976,6759352
2023-01-14,747513313,6760457
2023-01-15,748142542,6762693
2023-01-16,748512821,6763318
2023-01-17,748750666,6763793
2023-01-18,749103459,6764320
2023-01-19,749429183,6764857
2023-01-20,750011986,6769222
2023-01-21,750285762,6770475
2023-01-22,750657424,6772410
2023-01-23,750827489,6772870
2023-01-24,750935296,6773240
2023-01-25,751112749,6773687
2023-01-26,751304049,6774173
2023-01-27,751763366,6778494
2023-01-28,751926466,6779211
2023-01-29,752216917,6780809
2023-01-30,752351907,6781181
2023-01-31,752418204,6781545
2023-02-01,752594346,6838712
2023-02-02,752724390,6839855
2023-02-03,753157030,6847554
2023-02-04,753335373,6848556
2023-02-05,753602548,6850497
2023-02-06,753710216,6851123
2023-02-07,753793621,6851668
2023-02-08,753927975,6852330
2023-02-09,754061870,6853940
2023-02-10,754469416,6857985
2023-02-11,754594133,6858855
2023-02-12,754849849,6860601
2023-02-13,754940076,6861042
2023-02-14,755011779,6861516
2023-02-15,755146818,6862215
2023-02-16,755255511,6862903
2023-02-17,755613260,6866374
2023-02-18,755712554,6867182
2023-02-19,755995591,6869142
2023-02-20,756093719,6869540
2023-02-21,756159511,6869959
2023-02-22,756258936,6870449
2023-02-23,756356468,6870914
2023-02-24,756450393,6871639
2023-02-25,756802789,6875037
2023-02-26,757068403,6876914
2023-02-27,757191972,6877336
2023-02-28,757249271,6877747
2023-03-01,757348605,6878234
2023-03-02,757448874,6878759
2023-03-03,757550657,6879300
2023-03-04,757857041,6882292
2023-03-05,758096823,6883919
2023-03-06,758223332,6884381
2023-03-07,758281498,6884742
2023-03-08,758368145,6885181
2023-03-09,758450966,6885647
2023-03-10,758528172,6886039
2023-03-11,758776751,6888647
2023-03-12,758991647,6890261
2023-03-13,759151535,6890977
2023-03-14,759208851,6891396
2023-03-15,759292107,6891870
2023-03-16,759372856,6892242
2023-03-17,759440862,6892678
2023-03-18,759649801,6895103
2023-03-19,759870869,6896885
2023-03-20,760024469,6897568
2023-03-21,760078172,6897973
2023-03-22,760145926,6898401
2023-03-23,760210885,6898863
2023-03-24,760273721,6899224
2023-03-25,760499537,6901849
2023-03-26,760704006,6903596
2023-03-27,760799713,6904048
2023-03-28,760844503,6900869
2023-03-29,760907219,6901251
2023-03-30,761021499,6901941
2023-03-31,761071432,6902388
2023-04-01,761305116,6904642
2023-04-02,761503540,6906135
2023-04-03,761610075,6906509
2023-04-04,761645529,6906718
2023-04-05,761699723,6907006
2023-04-06,761754074,6907371
2023-04-07,761803779,6907615
2023-04-08,761851939,6907950
2023-04-09,762204602,6911756
2023-04-10,762298171,6912141
2023-04-11,762335211,6912380
2023-04-12,762386942,6912736
2023-04-13,762445862,6913035
2023-04-14,762502471,6913334
2023-04-15,762556054,6913688
2023-04-16,762899414,6916998
2023-04-17,763012405,6917401
2023-04-18,763057109,6917664
2023-04-19,763119809,6917949
2023-04-20,763182771,6918302
2023-04-21,763242800,6918587
2023-04-22,763300311,6918839
2023-04-23,763637029,6922271
2023-04-24,763749268,6922694
2023-04-25,763790949,6922960
2023-04-26,763851202,6923227
2023-04-27,763908548,6923499
2023-04-28,763965853,6923793
2023-04-29,764021837,6924072
2023-04-30,764321640,6927005
2023-05-01,764427005,6927366
2023-05-02,764465909,6927588
2023-05-03,764522343,6927833
2023-05-04,764583331,6928099
2023-05-05,764635576,6928352
2023-05-06,764676042,6928614
2023-05-07,764931086,6931729
2023-05-08,765056043,6932092
2023-05-09,765102800,6932301
2023-05-10,765145221,6932508
2023-05-11,765183074,6932715
2023-05-12,765222477,6932896
2023-05-13,765258745,6933137
2023-05-14,765497986,6936793
2023-05-15,765611098,6937141
2023-05-16,765647597,6938111
2023-05-17,765685822,6938255
2023-05-18,765720274,6938426
2023-05-19,765751230,6938557
2023-05-20,765780603,6938770
2023-05-21,765869866,6939646
2023-05-22,765990186,6940037
2023-05-23,766022925,6940976
2023-05-24,766057639,6941116
2023-05-25,766087786,6941325
2023-05-26,766116332,6941413
2023-05-27,766143574,6941506
2023-05-28,766216914,6942378
2023-05-29,766312476,6942691
2023-05-30,766354345,6943503
2023-05-31,766386138,6943588
2023-06-01,766419562,6943673
2023-06-02,766445551,6943814
2023-06-03,766458105,6943995
2023-06-04,766506868,6944790
2023-06-05,766611390,6945113
2023-06-06,766619356,6945874
2023-06-07,766651991,6945967
2023-06-08,766674504,6946045
2023-06-09,766699923,6946126
2023-06-10,766729512,6946254
2023-06-11,766787456,6947179
2023-06-12,766869362,6947391
2023-06-13,766880479,6948104
2023-06-14,766885121,6948157
2023-06-15,766889270,6948225
2023-06-16,766893152,6948287
2023-06-17,766899972,6948412
2023-06-18,766930380,6949035
2023-06-19,767087958,6949240
2023-06-20,767093529,6949904
2023-06-21,767097035,6949951
2023-06-22,767100131,6949993
2023-06-23,767104610,6950033
2023-06-24,767109059,6950194
